@relation cpu-weka.filters.unsupervised.instance.NonSparseToSparse

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
{0 125,1 256,2 6000,3 256,4 16,5 128,6 198}
{0 29,1 8000,2 32000,3 32,4 8,5 32,6 269}
{0 29,1 8000,2 32000,3 32,4 8,5 32,6 220}
{0 29,1 8000,2 32000,3 32,4 8,5 32,6 172}
{0 29,1 8000,2 16000,3 32,4 8,5 16,6 132}
{0 26,1 8000,2 32000,3 64,4 8,5 32,6 318}
{0 23,1 16000,2 32000,3 64,4 16,5 32,6 367}
{0 23,1 16000,2 32000,3 64,4 16,5 32,6 489}
{0 23,1 16000,2 64000,3 64,4 16,5 32,6 636}
{0 23,1 32000,2 64000,3 128,4 32,5 64,6 1144}
{0 400,1 1000,2 3000,4 1,5 2,6 38}
{0 400,1 512,2 3500,3 4,4 1,5 6,6 40}
{0 60,1 2000,2 8000,3 65,4 1,5 8,6 92}
{0 50,1 4000,2 16000,3 65,4 1,5 8,6 138}
{0 350,1 64,2 64,4 1,5 4,6 10}
{0 200,1 512,2 16000,4 4,5 32,6 35}
{0 167,1 524,2 2000,3 8,4 4,5 15,6 19}
{0 143,1 512,2 5000,4 7,5 32,6 28}
{0 143,1 1000,2 2000,4 5,5 16,6 31}
{0 110,1 5000,2 5000,3 142,4 8,5 64,6 120}
{0 143,1 1500,2 6300,4 5,5 32,6 30}
{0 143,1 3100,2 6200,4 5,5 20,6 33}
{0 143,1 2300,2 6200,4 6,5 64,6 61}
{0 110,1 3100,2 6200,4 6,5 64,6 76}
{0 320,1 128,2 6000,4 1,5 12,6 23}
{0 320,1 512,2 2000,3 4,4 1,5 3,6 69}
{0 320,1 256,2 6000,4 1,5 6,6 33}
{0 320,1 256,2 3000,3 4,4 1,5 3,6 27}
{0 320,1 512,2 5000,3 4,4 1,5 5,6 77}
{0 320,1 256,2 5000,3 4,4 1,5 6,6 27}
{0 25,1 1310,2 2620,3 131,4 12,5 24,6 274}
{0 25,1 1310,2 2620,3 131,4 12,5 24,6 368}
{0 50,1 2620,2 10480,3 30,4 12,5 24,6 32}
{0 50,1 2620,2 10480,3 30,4 12,5 24,6 63}
{0 56,1 5240,2 20970,3 30,4 12,5 24,6 106}
{0 64,1 5240,2 20970,3 30,4 12,5 24,6 208}
{0 50,1 500,2 2000,3 8,4 1,5 4,6 20}
{0 50,1 1000,2 4000,3 8,4 1,5 5,6 29}
{0 50,1 2000,2 8000,3 8,4 1,5 5,6 71}
{0 50,1 1000,2 4000,3 8,4 3,5 5,6 26}
{0 50,1 1000,2 8000,3 8,4 3,5 5,6 36}
{0 50,1 2000,2 16000,3 8,4 3,5 5,6 40}
{0 50,1 2000,2 16000,3 8,4 3,5 6,6 52}
{0 50,1 2000,2 16000,3 8,4 3,5 6,6 60}
{0 133,1 1000,2 12000,3 9,4 3,5 12,6 72}
{0 133,1 1000,2 8000,3 9,4 3,5 12,6 72}
{0 810,1 512,2 512,3 8,4 1,5 1,6 18}
{0 810,1 1000,2 5000,4 1,5 1,6 20}
{0 320,1 512,2 8000,3 4,4 1,5 5,6 40}
{0 200,1 512,2 8000,3 8,4 1,5 8,6 62}
{0 700,1 384,2 8000,4 1,5 1,6 24}
{0 700,1 256,2 2000,4 1,5 1,6 24}
{0 140,1 1000,2 16000,3 16,4 1,5 3,6 138}
{0 200,1 1000,2 8000,4 1,5 2,6 36}
{0 110,1 1000,2 4000,3 16,4 1,5 2,6 26}
{0 110,1 1000,2 12000,3 16,4 1,5 2,6 60}
{0 220,1 1000,2 8000,3 16,4 1,5 2,6 71}
{0 800,1 256,2 8000,4 1,5 4,6 12}
{0 800,1 256,2 8000,4 1,5 4,6 14}
{0 800,1 256,2 8000,4 1,5 4,6 20}
{0 800,1 256,2 8000,4 1,5 4,6 16}
{0 800,1 256,2 8000,4 1,5 4,6 22}
{0 125,1 512,2 1000,4 8,5 20,6 36}
{0 75,1 2000,2 8000,3 64,4 1,5 38,6 144}
{0 75,1 2000,2 16000,3 64,4 1,5 38,6 144}
{0 75,1 2000,2 16000,3 128,4 1,5 38,6 259}
{0 90,1 256,2 1000,4 3,5 10,6 17}
{0 105,1 256,2 2000,4 3,5 10,6 26}
{0 105,1 1000,2 4000,4 3,5 24,6 32}
{0 105,1 2000,2 4000,3 8,4 3,5 19,6 32}
{0 75,1 2000,2 8000,3 8,4 3,5 24,6 62}
{0 75,1 3000,2 8000,3 8,4 3,5 48,6 64}
{0 175,1 256,2 2000,4 3,5 24,6 22}
{0 300,1 768,2 3000,4 6,5 24,6 36}
{0 300,1 768,2 3000,3 6,4 6,5 24,6 44}
{0 300,1 768,2 12000,3 6,4 6,5 24,6 50}
{0 300,1 768,2 4500,4 1,5 24,6 45}
{0 300,1 384,2 12000,3 6,4 1,5 24,6 53}
{0 300,1 192,2 768,3 6,4 6,5 24,6 36}
{0 180,1 768,2 12000,3 6,4 1,5 31,6 84}
{0 330,1 1000,2 3000,4 2,5 4,6 16}
{0 300,1 1000,2 4000,3 8,4 3,5 64,6 38}
{0 300,1 1000,2 16000,3 8,4 2,5 112,6 38}
{0 330,1 1000,2 2000,4 1,5 2,6 16}
{0 330,1 1000,2 4000,4 3,5 6,6 22}
{0 140,1 2000,2 4000,4 3,5 6,6 29}
{0 140,1 2000,2 4000,4 4,5 8,6 40}
{0 140,1 2000,2 4000,3 8,4 1,5 20,6 35}
{0 140,1 2000,2 32000,3 32,4 1,5 20,6 134}
{0 140,1 2000,2 8000,3 32,4 1,5 54,6 66}
{0 140,1 2000,2 32000,3 32,4 1,5 54,6 141}
{0 140,1 2000,2 32000,3 32,4 1,5 54,6 189}
{0 140,1 2000,2 4000,3 8,4 1,5 20,6 22}
{0 57,1 4000,2 16000,3 1,4 6,5 12,6 132}
{0 57,1 4000,2 24000,3 64,4 12,5 16,6 237}
{0 26,1 16000,2 32000,3 64,4 16,5 24,6 465}
{0 26,1 16000,2 32000,3 64,4 8,5 24,6 465}
{0 26,1 8000,2 32000,4 8,5 24,6 277}
